city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Elk River,Elk River,MN,Minnesota,27141,Sherburne,45.3314,-93.567,25213,229,polygon,FALSE,TRUE,America/Chicago,3,55330,1840007794
Rosemount,Rosemount,MN,Minnesota,27037,Dakota,44.7465,-93.0662,25207,292,polygon,FALSE,TRUE,America/Chicago,3,55068,1840008951
Forest Lake,Forest Lake,MN,Minnesota,27163,Washington,45.2536,-92.9583,24853,264,polygon,FALSE,TRUE,America/Chicago,3,55025,1840007808
Faribault,Faribault,MN,Minnesota,27131,Rice,44.2985,-93.2786,24250,608,polygon,FALSE,TRUE,America/Chicago,3,55021,1840007889
Farmington,Farmington,MN,Minnesota,27037,Dakota,44.6573,-93.1688,23091,609,polygon,FALSE,TRUE,America/Chicago,3,55024,1840007853
Hastings,Hastings,MN,Minnesota,27037,Dakota,44.7318,-92.8538,23047,858,polygon,FALSE,TRUE,America/Chicago,3,55033,1840006770
Crystal,Crystal,MN,Minnesota,27053,Hennepin,45.0377,-93.3599,22899,1527,polygon,FALSE,TRUE,America/Chicago,3,55422 55427 55429 55428,1840006745
New Brighton,New Brighton,MN,Minnesota,27123,Ramsey,45.0658,-93.206,22753,1352,polygon,FALSE,TRUE,America/Chicago,3,55112,1840007841
Northfield,Northfield,MN,Minnesota,27131,Rice,44.455,-93.1698,22325,942,polygon,FALSE,TRUE,America/Chicago,3,55057,1840007891
Lino Lakes,Lino Lakes,MN,Minnesota,27003,Anoka,45.1679,-93.083,22119,302,polygon,FALSE,TRUE,America/Chicago,3,55014 55038,1840008902
Golden Valley,Golden Valley,MN,Minnesota,27053,Hennepin,44.9901,-93.3591,21886,828,polygon,FALSE,TRUE,America/Chicago,3,55422 55427 55426 55416,1840007824
Alexandria,Alexandria,MN,Minnesota,27041,Douglas,45.8777,-95.3766,21204,310,polygon,FALSE,TRUE,America/Chicago,3,56308,1840006680
New Hope,New Hope,MN,Minnesota,27053,Hennepin,45.0374,-93.3869,20907,1596,polygon,FALSE,TRUE,America/Chicago,3,55427 55428,1840007829
Willmar,Willmar,MN,Minnesota,27067,Kandiyohi,45.122,-95.0569,20510,549,polygon,FALSE,TRUE,America/Chicago,3,56201,1840009995
Columbia Heights,Columbia Heights,MN,Minnesota,27003,Anoka,45.0484,-93.2472,20427,2327,polygon,FALSE,TRUE,America/Chicago,2,55421,1840006712
South St. Paul,South St. Paul,MN,Minnesota,27037,Dakota,44.8876,-93.0411,20060,1377,polygon,FALSE,TRUE,America/Chicago,3,55075,1840008948
West St. Paul,West St. Paul,MN,Minnesota,27037,Dakota,44.9018,-93.0858,19961,1570,polygon,FALSE,TRUE,America/Chicago,3,55118,1840010012
Stillwater,Stillwater,MN,Minnesota,27163,Washington,45.0573,-92.8313,19627,941,polygon,FALSE,TRUE,America/Chicago,3,55082 55083,1840008914
